concept,data_type,SFDPH_names,SFDPH_records,SFDPH_encounters,UCSF_names,UCSF_records,UCSF_encounters,total_records,total_encounters
Bilirubin (Total),Laboratory,Total Bilirubin,250512,120160,"Bilirubin, Total",447203,210761,697715,330921
ALT,Laboratory,ALT,250181,120162,Alanine transaminase,444969,211183,695150,331345
AST,Laboratory,AST,250174,120165,AST,444886,211204,695060,331369
Alkaline Phosphatase,Laboratory,Alkaline Phosphatase,250101,120117,Alkaline Phosphatase,442873,210411,692974,330528
PO2,Laboratory,Venous pO2; pO2,245113,115472,"PO2; PO2, Venous",445523,151098,690636,266570
Phosphorus,Laboratory,Phosphorus,202600,41832,"Phosphorus, serum/plasma",412617,90977,615217,132809
CPOT,Respiratory,,0,0,R CPOT VENT OR VOCAL COMPLIANCE IP_CD_UCSF,578964,12453,578964,12453
Albumin,Laboratory,"Albumin, Serum g/dL",262973,121273,"Albumin, Serum / Plasma",311265,161521,574238,282794
Total Protein,Laboratory,Total Protein,252387,120293,"Protein, Total, Serum / Plasma",287923,154827,540310,275120
Lactate,Laboratory,"Lactate, Venous; Lactate, Whole Blood",151181,110860,"Lactate, plasma; Lactate, whole blood",378008,168050,529189,278910
Ionized Calcium,Laboratory,Ionized Calcium,100762,13765,"Calcium, Ionized, Serum/Plasma; Calcium, Ionized, whole blood",385087,152480,485849,166245
INR,Laboratory,INR,129104,67391,INR,308733,119180,437837,186571
Absolute Large Lymphocytes,Laboratory,Absolute Large Lymphocytes,428786,187034,,0,0,428786,187034
Vent RR,Respiratory,,0,0,R RESP RR SET; R RT VENTILATOR RESPIRATORY RATE  TOTAL,371429,13643,371429,13643
Troponin I,Laboratory,Troponin I; Troponin I High Sensitivity (NG/L),143396,71327,Troponin I,198115,119435,341511,190762
Minute Volume,Respiratory,R DPH MINUTE VOLUME MEASURED; R DPH MINUTE VOLUME SPONT,170298,5848,R RT VENTILATOR MINUTE VOLUME MEASURED V2,165262,5695,335560,11543
Activated PTT,Laboratory,Activated PTT,120517,60618,aPTT,196927,55635,317444,116253
I:E Ratio,Respiratory,R VENT I:E RATIO,170639,5478,R RT (ADULT) VENTILATOR I:E RATIO MEASURED,125220,6297,295859,11775
Resp Rate EtCO2,Respiratory,R ZSFG RESP RATE ETCO2,243906,11626,,0,0,243906,11626
Pressure Support,Respiratory,R DPH PRESS SUPPORTABOVEPEEP,74540,4160,R RT VENTILATOR PRESSURE SUPPORT,150629,5984,225169,10144
MAP (Measured),Respiratory,,0,0,RT MAP MEASURED,190963,6480,190963,6480
Bilirubin (Direct),Laboratory,"Bilirubin, Direct",145802,100633,"Bilirubin, Direct",27765,11609,173567,112242
OSI,Respiratory,,0,0,R OXYGEN SATURATION INDEX (OSI),121929,4263,121929,4263
Prothrombin Time,Laboratory,Prothrombin Time,119871,62533,Prothrombin Time,1865,884,121736,63417
CRP,Laboratory,"CRP,  High sensitivity",31818,21645,C-Reactive Protein,56326,33926,88144,55571
Fibrinogen,Laboratory,Fibrinogen,13850,4221,"Fibrinogen, Functional",56032,13063,69882,17284
PaO2/FiO2 Ratio,Respiratory,R DPH RT PAO2/FIO2 RATIO,62423,5715,R PAO2/FIO2 RATIO,2897,1672,65320,7387
Hemoglobin A1C,Laboratory,Hemoglobin A1C,18701,17634,Hemoglobin A1c,25519,24033,44220,41667
Procalcitonin,Laboratory,Procalcitonin,9746,4381,Procalcitonin,22089,13129,31835,17510
