icd_value,diagnosisname,count,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
F29,Unspecified psychosis not due to a substance or known physiological condition (CMS code),9821,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)","Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders (F20-F29)",Unspecified psychosis not due to a substance or known physiological condition
Z88.8,"Allergy status to other drugs, medicaments and biological substances",9805,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),"Allergy status to drugs, medicaments and biological substances"
Z78.9,Other specified health status,9723,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Other specified health status
R51,Headache,9708,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Headache
I25.2,Old myocardial infarction,9675,ICD-10-CM,Diseases of the circulatory system (I00-I99),Ischemic heart diseases (I20-I25),Chronic ischemic heart disease
E46,Unspecified protein-calorie malnutrition,9611,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Malnutrition (E40-E46),Unspecified protein-calorie malnutrition
E11.65,Type 2 diabetes mellitus with hyperglycemia (CMS code),9605,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Diabetes mellitus (E08-E13),Type 2 diabetes mellitus
R05,Cough,9517,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Cough
Z92.21,Personal history of antineoplastic chemotherapy,9495,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of medical treatment
M10.9,"Gout, unspecified",9418,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Inflammatory polyarthropathies (M05-M14),Gout
E43,Unspecified severe protein-calorie malnutrition,9417,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Malnutrition (E40-E46),Unspecified severe protein-calorie malnutrition
Z92.3,Personal history of irradiation,9413,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of medical treatment
M81.0,Age-related osteoporosis without current pathological fracture,9302,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Disorders of bone density and structure (M80-M85),Osteoporosis without current pathological fracture
R29.6,Repeated falls,9236,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the nervous and musculoskeletal systems (R25-R29),Other symptoms and signs involving the nervous and musculoskeletal systems
R20.0,Anesthesia of skin,9194,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Disturbances of skin sensation
