icd_value,diagnosisname,count,sepsis_category,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
T42.4X4A,Poisoning by benzodiazepine-based tranquilizers(969.4),226,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances (T36-T50)","Poisoning by, adverse effect of and underdosing of antiepileptic, sedative- hypnotic and antiparkinsonism drugs"
H16.9,Unspecified keratitis,226,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),"Disorders of sclera, cornea, iris and ciliary body (H15-H22)",Keratitis
S51.811A,"Laceration without foreign body of right forearm, initial encounter",225,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the elbow and forearm (S50-S59),Open wound of elbow and forearm
H93.13,"Tinnitus, bilateral",225,,ICD-10-CM,Diseases of the ear and mastoid process (H60-H95),Other disorders of ear (H90-H94),"Other disorders of ear, not elsewhere classified"
M19.071,"Primary osteoarthritis, right ankle and foot",225,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Osteoarthritis (M15-M19),Other and unspecified osteoarthritis
I82.0,Budd-Chiari syndrome (CMS code),225,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",Other venous embolism and thrombosis
Z74.1,Need for assistance with personal care,225,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons encountering health services in other circumstances (Z69-Z76),Problems related to care provider dependency
S27.0XXA,"Traumatic pneumothorax, initial encounter",225,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the thorax (S20-S29),Injury of other and unspecified intrathoracic organs
S99.911A,"Unspecified injury of right ankle, initial encounter",225,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the ankle and foot (S90-S99),Other and unspecified injuries of ankle and foot
T15.92XA,"Foreign body on external eye, part unspecified, left eye, initial encounter",224,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Effects of foreign body entering through natural orifice (T15-T19),Foreign body on external eye
S32.509A,Closed fracture of pubis (CMS code),224,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals (S30-S39)",Fracture of lumbar spine and pelvis
E11.01,Type 2 diabetes mellitus with hyperosmolarity with coma (CMS code),224,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Diabetes mellitus (E08-E13),Type 2 diabetes mellitus
Q45.3,Other congenital malformations of pancreas and pancreatic duct,224,,ICD-10-CM,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Other congenital malformations of the digestive system (Q38-Q45),Other congenital malformations of digestive system
G96.9,"Disorder of central nervous system, unspecified",224,,ICD-10-CM,Diseases of the nervous system (G00-G99),Other disorders of the nervous system (G89-G99),Other disorders of central nervous system
K04.4,Acute apical periodontitis of pulpal origin,223,,ICD-10-CM,Diseases of the digestive system (K00-K95),Diseases of oral cavity and salivary glands (K00-K14),Diseases of pulp and periapical tissues
H61.22,"Impacted cerumen, left ear",223,,ICD-10-CM,Diseases of the ear and mastoid process (H60-H95),Diseases of external ear (H60-H62),Other disorders of external ear
S60.512A,"Abrasion of left hand, initial encounter",223,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the wrist, hand and fingers (S60-S69)","Superficial injury of wrist, hand and fingers"
T79.6XXA,"Traumatic ischemia of muscle, initial encounter",223,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Certain early complications of trauma (T79),"Certain early complications of trauma, not elsewhere classified"
F50.00,"Anorexia nervosa, unspecified (CMS code)",223,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Behavioral syndromes associated with physiological disturbances and physical factors (F50-F59),Eating disorders
R04.89,Hemorrhage from other sites in respiratory passages,223,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Hemorrhage from respiratory passages
B25.8,Other cytomegaloviral diseases (CMS code),222,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Other viral diseases (B25-B34),Cytomegaloviral disease
G44.53,Primary thunderclap headache,221,,ICD-10-CM,Diseases of the nervous system (G00-G99),Episodic and paroxysmal disorders (G40-G47),Other headache syndromes
D47.1,Chronic myeloproliferative disease (CMS code),221,,ICD-10-CM,Neoplasms (C00-D49),"Neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes (D37-D48)","Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
M86.8X7,"Other osteomyelitis, ankle and foot (CMS code)",221,infection_other,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other osteopathies (M86-M90),Osteomyelitis
Q61.2,"Polycystic kidney, adult type",221,,ICD-10-CM,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Congenital malformations of the urinary system (Q60-Q64),Cystic kidney disease
J09.X1,Influenza due to identified novel influenza A virus with pneumonia,221,infection_respiratory,ICD-10-CM,Diseases of the respiratory system (J00-J99),Influenza and pneumonia (J09-J18),Influenza due to certain identified influenza viruses
S03.00XA,"Dislocation of jaw, unspecified side, initial encounter",221,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the head (S00-S09),Dislocation and sprain of joints and ligaments of head
Y92.129,Unspecified place in nursing home as the place of occurrence of the external cause,221,,ICD-10-CM,External causes of morbidity (V00-Y99),Supplementary factors related to causes of morbidity classified elsewhere (Y90-Y99),Place of occurrence of the external cause
C79.82,Secondary malignant neoplasm of genital organs (CMS code),221,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of ill-defined, other secondary and unspecified sites (C76-C80)",Secondary malignant neoplasm of other and unspecified sites
E88.81,Metabolic syndrome and other insulin resistance,220,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),Other and unspecified metabolic disorders
