departmentname,count,departmentspecialty,is_icu
ORTHO SPINE PARN,4,Orthopedic Surgery,False
SURG OPHTH PEDIATRICS AMB-BIL,4,*Unspecified,False
PED ID MB,4,Pediatric Infectious Disease,False
RAD ONC HDR MB 1,4,Radiation Therapy,False
ECG STRESS LAB ADULT ACC,4,Cardiology,False
PHARM INPATIENT PARN,4,Pharmacy,False
PSYCH AFTER HOURS -OSHPD BIL,4,*Unspecified,False
PK SURG URO ADULT PARN-BIL,4,*Unspecified,False
PK SURG OHNS VC MZ-BIL,4,*Unspecified,False
PSYCH IP PARN -OSHPD BIL,4,*Unspecified,False
PK UROLOGY SVC,4,Urology,False
PK CRITICAL CARE MED-BIL,4,Critical Care Medicine,True
ZZZPEDIATRIC SEDATION SVC,4,Pediatric Anesthesiology,False
PK GEN CARD SVC,4,Cardiology,False
PK PEDIATRIC NEPHROLOGY SVC,4,Pediatric Nephrology,False
ZZZSURG ORTHO FOOT ANKLE MZ-BIL,4,*Unspecified,False
DERM FAC MZ DIVIS 4,4,Dermatology,False
ENDO BAYFRONT,4,Endocrinology and Metabolism,False
ZZZOPHTH OPTOM PARN MB1,4,Optometry,False
SURG OHNS GENSURG AMB-BIL,4,*Unspecified,False
MH PRMRY CARE GB,4,Internal Medicine,False
NEURO PARN,4,Neurology,False
ZZZ360 POS HEALTH OLD,4,HIV Program,False
SURGERY PARN,4,General Surgery,False
SURG OPHTH PLASTICS AMB-BIL,4,*Unspecified,False
SURG PED GI/HEPATOLOGY MB-BIL,4,Pediatric Gastroenterology,False
PK ECG GLOBAL AMB-BIL,3,*Unspecified,False
PK PED EMERGENCY DEPT - BIL,3,*Unspecified,False
PK SURG DOS VASCULAR PARN-BIL,3,*Unspecified,False
SURG OB/GYN WOMENS OPTIONS MZ - BIL,3,Obstetrics and Gynecology,False
CARD PULM HTN,3,Cardiology,False
ZZZANTICOAG MB2,3,Anticoagulation,False
ENDOCRINE SURGERY SVC,3,Endocrine Surgery,False
COLORECTAL SURG MB 4,3,Colorectal Surgery,False
GI SURG ONC MB 6,3,Surgical Oncology,False
MH INTERNAL MED PETA,3,Internal Medicine,False
SURG OHNS PEDI MB-BIL,3,*Unspecified,False
OP CLIN LAB MB 5,3,Lab,False
OHNS SINUS MZ,3,"Otolaryngology, Head and Neck Surgery",False
BREAST MED ONC MB 3,3,Breast Care - Cancer Center,False
ADVANCED HEART FAIL PARN,3,Heart Transplant,False
ADULT INFUSION PCMB 4,3,Infusion and Transfusion,False
OHNS VOICE MZ POST,3,"Otolaryngology, Head and Neck Surgery",False
MH OHNS SR,3,"Otolaryngology, Head and Neck Surgery",False
PK LAB SOM CHEMISTRY – BIL,3,*Unspecified,False
PK ANES ICU PAIN PARN-BIL,3,Anesthesiology,True
PED FETAL ECHO MB,3,Pediatric Cardiology,False
PED CARDIOTHORACIC SURG SVC,3,Pediatric Cardiothoracic Surgery,False
PDC MB,3,Prenatal Diagnosis,False
RAD PET/CT CB,3,Radiology,False
RAD MAMMOGRAPHY MZ,3,Radiology,False
PK PATH SURGICAL MB,3,Pathology,False
PED GENETICS MB,3,Pediatric Genetics,False
PSYCH ONC SVC,3,Psychology - Cancer Center,False
ZZZPK ENDOCRINOLOGY SVC,3,Endocrinology,False
PK INTERVENTION PULM MZ CC4,3,Pulmonology,False
PK PAIN - CHRONIC SVC,3,*Unspecified,False
PK HOSP GOLDMAN MEDICAL SVC,3,Hospital Medicine,False
PK PEDIATRIC SURGERY SVC,3,Pediatric Surgery,False
PK SURG DOS COLORECTAL PARN-BIL,2,*Unspecified,False
OSHER SVC,2,Integrative Medicine,False
PK NEUROSURGERY SVC,2,Neurosurgery,False
PK SURG DOM ENDO MZ,2,*Unspecified,False
PK ELECTROPHYSIOLOGY SVC,2,Cardiology,False
PK NEURO OPHTH SVC,2,Ophthalmology,False
PK NEUROVASCULAR SVC,2,*Unspecified,False
PK OHNS SVC,2,"Otolaryngology, Head and Neck Surgery",False
PULM OPTIMAL ADLT,2,Pulmonology,False
PK ECG PEDS MC-BIL,2,*Unspecified,False
PK RAD NUCLEAR MED PARN,2,Nuclear Medicine,False
PK RHEUMATOLOGY SVC,2,Rheumatology,False
PK RAD FLUOROSCOPY PARN,2,Radiology,False
PK SURG URO ONC-BIL,2,*Unspecified,False
PHOTOPHERESIS PARN,2,Hematology and Oncology,False
PSYCH ATTENDING LP AIP - FPO BIL,2,Psychiatry,False
PK SURG GYN MZ - BIL,2,Reproductive Endocrinology and Infertility,False
RESPIRATORY SVC,2,Respiratory Therapy,False
ADULT INFUSION PCMB 5,2,Infusion and Transfusion,False
OL OHNS PEDS CHO IP-BIL,2,*Unspecified,False
ORTHO PROS MB,2,Orthopedic Surgery,False
SURG OHNS PEDI AMB-BIL,2,*Unspecified,False
KIDNEY POST PARN,2,Kidney Transplantation,False
PK SURG OHNS GENSURG PARN-BIL,2,*Unspecified,False
GI MED ONC MZ CC4,2,Gastrointestinal Oncology,False
ZZZOPHTH GLAUCOMA PARN,2,Ophthalmology,False
SURG URO PEDS PARN-BIL,2,*Unspecified,False
HEMODIALYSIS PARN,2,Dialysis,False
CC CIP SFOMG WEB OTO,2,"Otolaryngology, Head and Neck Surgery",False
SURG OHNS COCHLEAR PARN-BIL,2,*Unspecified,False
PED CARD MODESTO,1,Pediatric Cardiology,False
PED CARD STRESS LAB - BIL,1,Pediatric Cardiology,False
RAD CT CB,1,Radiology CT,False
PERIOP BAYFRONT,1,Periop,False
PLASTICS MB,1,Plastic Surgery,False
"PEDS OTOLARYNGOLOGY, HEAD & NECK SURGERY SVC",1,"Pediatric Otolaryngology, Head and Neck Surgery",False
PROCTOR GROUP,1,Ophthalmology,False
PSYCH PHP ADULT - FPO BIL,1,Psychiatry,False
PED ONCOLOGY MB,1,Pediatric Oncology,False
PED CARD MARIN,1,Pediatric Cardiology,False
PERIOP PARN OSC,1,Periop,False
PK VASCULAR SURG PARN,1,Vascular Surgery,False
PK SURG OPHTH PLASTICS PARN-BIL,1,*Unspecified,False
PK THORACIC SURG ONC MZ 4,1,Thoracic Surgery,False
PK HOSP MISSION BAY SVC,1,*Unspecified,False
ZZZPED HEART PARN,1,Pediatric Cardiology,False
ZZZPEDS FETAL ECHO,1,Pediatric Cardiology,False
PK INTERVENTION PULM PARN,1,Pulmonary Function and Bronchoscopy,False
PK PATHOLOGY CCGL,1,Pathology,False
PK OHNS HOSPITALIST,1,"Otolaryngology, Head and Neck Surgery",False
PK PEDIATRIC ID SVC,1,Pediatric Infectious Disease,False
PK PEDIATRIC CRITICAL CARE SVC,1,Pediatric Critical Care Medicine,True
PK RADIATION ONCOLOGY SVC,1,Radiation Oncology,False
PK GERIATRICS INPT SVC,1,Geriatric Medicine,False
PK RAD PET/CT CB,1,Radiology,False
PED RHEUMATOLOGY MB,1,Pediatric Rheumatology,False
RAD X-RAY PARN MB1,1,Radiology,False
RAD ULTRASOUND MB,1,Radiology,False
RAD ONC MB 4,1,Radiation Oncology,False
RAD MEG ML,1,Radiology,False
PED CARDIAC CATH MB,1,Pediatric Cardiology,False
NEURO SPINE PARN 2,1,Neurosurgery,False
MH NEPHROLOGY GB,1,Nephrology,False
ORTHO SPINE MB,1,Orthopedic Surgery,False
ORTHO SPORTS MB,1,Orthopedic Surgery,False
REPRO PROCEDURE CTR MB,1,Reproductive Endocrinology and Infertility,False
MELANOMA MED ONC MB 3,1,Melanoma,False
MH CARDIOVASC LKS,1,Cardiology,False
OHNS OTOLOGY MZ,1,"Otolaryngology, Head and Neck Surgery",False
APHERESIS PARN,1,Infusion and Transfusion,False
OL PED EB GEN SURG CHO IP,1,*Unspecified,False
ILD PARN,1,Pulmonology,False
WOMENS HEALTH MZ,1,Primary Care,False
HEP PARN 7,1,Hepatology,False
THORACIC  MED ONC MZ CC4,1,Thoracic Oncology,False
SYMPTOM MGMNT MB 6,1,Symptom Management,False
SYMPTOM MGMNT MB 4,1,Symptom Management,False
CARD FAC BOPC,1,Cardiology,False
SURG URO REPRODUCTIVE HEALTH MZ-BIL,1,*Unspecified,False
GU MED ONC MZ CC3,1,Urologic Oncology,False
CARD SAN MATEO,1,Cardiology,False
ZZZBREAST PLAS MZ CC2,1,Breast Care - Cancer Center,False
DIALYSIS MZ,1,Dialysis,False
ENDO FAC PARN,1,Endocrinology and Metabolism,False
ZZZOL PDC MONTEREY,1,Prenatal Diagnosis,False
ZZZOB PARN,1,Obstetrics and Gynecology,False
ZZZPALLIATIVE CARE PARN 6,1,Palliative Medicine,False
ZZZPODIATRY GERIATRICS,1,Podiatry,False
